fin_ratio,mean_obs_m,mean_ci_lo_m,mean_ci_hi_m,null_pred_loo_m,residual_loo_m,resid_ci_lo_m,resid_ci_hi_m,resid_ci_excludes_0
0.0,2.0227999999999997,1.9974,2.0506,1.9072000000000002,0.11559999999999948,0.07119999999999971,0.15620250000000008,True
0.25,1.9072000000000002,1.8712000000000004,1.9414000000000002,1.9546,-0.047399999999999665,-0.09199999999999964,-0.003494999999999921,True
0.5,1.8864,1.8484000000000003,1.932,1.85065,0.03575000000000017,-0.007349999999999746,0.0822524999999999,False
0.75,1.7160999999999997,1.7071999999999998,1.7241,1.87925,-0.16315000000000035,-0.18195125000000006,-0.14170000000000016,True
1.0,1.8721,1.8688999999999996,1.8760000000000001,1.7104499999999998,0.1616500000000003,0.14719875,0.17649999999999988,True
1.25,1.7048,1.6778,1.7315999999999998,1.69685,0.007950000000000124,-0.024027499999999747,0.03782500000000022,False
1.5,1.5996000000000001,1.5702,1.6328,1.6314000000000002,-0.03180000000000005,-0.07790000000000008,0.018900000000000146,False
1.75,1.5580000000000003,1.4865949999999999,1.6156,1.5310000000000001,0.027000000000000135,-0.048407500000000214,0.09090750000000009,False
2.0,1.4624,1.431,1.5019999999999998,1.5580000000000003,-0.09560000000000035,-0.1587999999999996,-0.012200000000000205,True
