fin_ratio,range_obs_m,decay_obs_ms2,k_eff_quad_kg_per_m,b_eff_lin_kg_per_s,decay_pred_quad_ms2,decay_pred_lin_ms2
0.0,2.023,-1.454,0.0,0.0,-0.0025875502973528868,-0.0025875502973528868
0.25,1.907,-1.956,0.009711987754892196,0.03525579365341632,-0.36110588664271015,-0.3895661962416111
0.5,1.866,-2.586,0.013497152520016095,0.04863096329559099,-0.47226635174004417,-0.5188839852719849
0.75,1.719,-2.901,0.02888298684170939,0.1011466758178502,-0.9043722636892365,-1.006770392531345
1.0,1.874,-3.216,0.012742852564260259,0.04598120242008084,-0.45812266312003325,-0.48844628467954115
1.25,1.704,-3.531,0.030633873471619194,0.10695042975484378,-0.9397155166593354,-1.0517611607893438
1.5,1.6,-3.98,0.04386452284446936,0.1498013980786697,-1.2421059988342311,-1.4019127523330412
1.75,1.557,-4.582,0.04995725310808012,0.16898068211507455,-1.3628595308924956,-1.5432560223021525
2.0,1.462,-5.02,0.06494654029187538,0.21484817147193058,-1.6181369517320472,-1.8535417367634914
